Date,Open,High,Low,Close,Adj Close,Volume
29-09-2014,1347.699951,1387.724976,1337.650024,1383.974976,1212.511475,2089534
30-09-2014,1386.474976,1388.324951,1354.074951,1368.300049,1198.778687,2788954
01-10-2014,1376,1401,1368.5,1387.800049,1215.862793,2142022
07-10-2014,1369.800049,1419.849976,1362.800049,1365.675049,1196.47876,3457674
08-10-2014,1369,1369.974976,1324.625,1341.599976,1175.386719,1962442
09-10-2014,1354,1361.650024,1343.25,1353.025024,1185.39624,1685176
10-10-2014,1353,1363.724976,1334.25,1339.25,1173.327637,2344362
13-10-2014,1340,1362.400024,1335,1358.275024,1189.995483,2209532
14-10-2014,1365,1367.849976,1339.400024,1349.599976,1182.39502,2369406
15-10-2014,1349.599976,1349.599976,1349.599976,1349.599976,1182.39502,0
16-10-2014,1365,1379.300049,1332.125,1339.050049,1173.152588,3848014
17-10-2014,1237.5,1255.675049,1215,1220.574951,1069.355347,9892812
20-10-2014,1245,1246.800049,1208.974976,1211.650024,1061.536255,3399242
21-10-2014,1212.925049,1221.875,1207.5,1216.699951,1065.960327,1950732
22-10-2014,1242.5,1244.5,1222.550049,1225.925049,1074.042847,2067664
27-10-2014,1259.5,1259.849976,1222.474976,1228.574951,1076.36438,2797208
28-10-2014,1242.449951,1242.449951,1226.724976,1239.300049,1085.76062,2289958
29-10-2014,1237.5,1257,1236.5,1253.025024,1100.004028,2425016
30-10-2014,1260.900024,1287.449951,1254.5,1279.099976,1122.894897,4111292
31-10-2014,1280.5,1310,1280.5,1303.925049,1144.687988,3170070
03-11-2014,1324.5,1324.5,1290.25,1295.175049,1137.006958,2541632
05-11-2014,1319,1319,1295,1299.75,1141.022949,2310642
07-11-2014,1302.400024,1307.849976,1278.5,1286.425049,1129.325195,2126740
10-11-2014,1287.550049,1291,1275.5,1284.824951,1127.920654,1541964
11-11-2014,1289,1297,1277.699951,1290.349976,1132.770752,1249940
12-11-2014,1290,1305.5,1287.5,1295.875,1137.621216,1320582
13-11-2014,1297.5,1302.449951,1282.574951,1294.224976,1136.172729,1645540
14-11-2014,1292.599976,1305.574951,1287.5,1303.224976,1144.073364,1457174
17-11-2014,1297.550049,1312.5,1296.125,1309.150024,1149.275146,1570552
18-11-2014,1310,1313.324951,1289.875,1292.925049,1135.031738,1467026
19-11-2014,1299,1299,1278.724976,1286.875,1129.720093,1865746
20-11-2014,1294,1305.125,1280.275024,1302.724976,1143.634766,1795386
21-11-2014,1304,1320,1293.324951,1311.074951,1150.965088,2001594
24-11-2014,1311,1332.5,1311,1328.849976,1166.569214,1942766
25-11-2014,1330,1339.699951,1308,1318,1157.044312,2371684
26-11-2014,1315.025024,1328.175049,1307.5,1313.650024,1153.225464,1584800
27-11-2014,1313.650024,1334,1312.650024,1326.650024,1164.638062,1732418
28-11-2014,1329.175049,1345.949951,1317.675049,1321.5,1160.116699,1989768
01-12-2014,1325.25,1350,1322.625,1346.474976,1182.04187,1896354
